Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2015,Washington Nationals,NL East,83,79,2,,"2,619,843","32,344",5th of 15,"$176,496,372 ",101,102,Nationals Park,293,22.5,
2015,Texas Rangers,AL West,88,74,1,Lost LDS (3-2),"2,491,875","30,764",7th of 15,"$178,860,789 ",105,105,Globe Life Park in Arlington,275,-4.7,
2015,Toronto Blue Jays,AL East,93,69,1,Lost ALCS (4-2),"2,794,891","34,505",4th of 15,"$117,917,400 ",102,103,Rogers Centre,241,1.2,
2015,Cincinnati Reds,NL Central,64,98,5,,"2,419,506","29,870",11th of 15,"$111,572,286 ",101,100,Great American Ball Park,237,9,
2015,St Louis Cardinals,NL Central,100,62,1,Lost LDS (3-1),"3,520,889","43,468",2nd of 15,"$128,241,500 ",100,101,Busch Stadium III,300,59.8,
2015,San Francisco Giants,NL West,84,78,2,,"3,375,882","41,678",3rd of 15,"$180,018,166 ",98,99,AT&T Park,409,72.6,
2015,Seattle Mariners,AL West,76,86,4,,"2,193,581","27,081",10th of 15,"$130,681,400 ",95,95,Safeco Field,271,16.8,
2015,Philadelphia Phillies,NL East,63,99,5,,"1,831,080","22,606",14th of 15,"$103,082,167 ",98,97,Citizens Bank Park,263,-8.9,
2015,Pittsburgh Pirates,NL Central,98,64,2,Lost NLWC (1-0),"2,498,596","30,847",9th of 15,"$104,457,499 ",99,99,PNC Park,244,35.3,
2015,Colorado Rockies,NL West,68,94,5,,"2,506,789","30,948",8th of 15,"$96,438,600 ",118,118,Coors Field,227,5.5,
2015,Oakland Athletics,AL West,68,94,5,,"1,768,175","21,829",12th of 15,"$64,016,001 ",97,97,O.co Coliseum,208,32.7,
2015,New York Yankees,AL East,87,75,2,Lost ALWC (1-0),"3,193,795","39,430",1st of 15,"$214,051,957 ",101,101,Yankee Stadium III,516,13,
2015,New York Mets,NL East,90,72,1,Lost WS (4-1),"2,569,753","31,725",6th of 15,"$98,874,473 ",97,97,Citi Field,313,46.8,61.1
2015,Miami Marlins,NL East,71,91,3,,"1,752,235","21,633",15th of 15,"$71,231,500 ",97,96,Marlins Park,199,-2.2,
2015,Minnesota Twins,AL Central,83,79,2,,"2,220,054","27,408",9th of 15,"$107,755,000 ",101,100,Target Field,240,29.9,
2015,Detroit Tigers,AL Central,74,87,5,,"2,726,048","33,655",5th of 15,"$172,284,750 ",99,99,Comerica Park,268,-36.4,
2015,Milwaukee Brewers,NL Central,68,94,4,,"2,542,558","31,390",7th of 15,"$70,869,500 ",101,100,Miller Park,234,58.2,
2015,Los Angeles Angels,AL West,85,77,3,,"3,012,765","37,195",2nd of 15,"$131,522,500 ",94,94,Angel Stadium of Anaheim,312,68.1,
2015,Houston Astros,AL West,86,76,2,Lost LDS (3-2),"2,153,585","26,587",11th of 15,"$93,256,200 ",97,97,Minute Maid Park,270,75.9,
2015,Los Angeles Dodgers,NL West,92,70,1,Lost LDS (3-2),"3,764,815","46,479",1st of 15,"$265,140,429 ",94,95,Dodger Stadium,438,-20.5,
2015,Kansas City Royals,AL Central,95,67,1,Won WS (4-1),"2,708,549","33,439",6th of 15,"$121,590,475 ",104,104,Kauffman Stadium,273,-0.9,
2015,Atlanta Braves,NL East,67,95,4,,"2,001,392","24,709",13th of 15,"$104,037,500 ",98,97,Turner Field,266,15.1,
2016,Baltimore Orioles,AL East,89,73,2,Lost ALWC (1-0),"2,172,344","26,819",10th of 15,"$153,744,833 ",102,102,Oriole Park at Camden Yards,253,-2.1,
2016,Chicago White Sox,AL Central,78,84,4,,"1,746,293","21,559",12th of 15,"$113,416,000 ",96,96,U.S. Cellular Field,269,41.9,
2016,Chicago Cubs,NL Central,103,58,1,Won WS (4-3),"3,232,420","39,906",4th of 15,"$176,097,333 ",100,101,Wrigley Field,434,83.8,
2016,Arizona Diamondbacks,NL West,69,93,4,,"2,036,216","25,138",11th of 15,"$78,399,500 ",107,107,Chase Field,253,47.2,
2016,Boston Red Sox,AL East,93,69,1,Lost LDS (3-0),"2,955,434","36,487",4th of 15,"$218,682,750 ",106,106,Fenway Park,434,78.6,
2016,Cleveland Indians,AL Central,94,67,1,Lost WS (4-3),"1,591,667","19,650",13th of 15,"$94,511,067 ",107,109,Progressive Field,271,46.9,
2016,Tampa Bay Rays,AL East,68,94,5,,"1,286,163","15,879",15th of 15,"$48,223,791 ",95,95,Tropicana Field,205,32.1,
2016,Washington Nationals,NL East,95,67,1,Lost LDS (3-2),"2,481,938","30,641",7th of 15,"$152,967,400 ",102,103,Nationals Park,304,37.6,
2016,Texas Rangers,AL West,95,67,1,Lost LDS (3-0),"2,710,402","33,462",5th of 15,"$212,117,760 ",108,107,Globe Life Park in Arlington,298,18.6,
2016,Toronto Blue Jays,AL East,89,73,2,Lost ALCS (4-1),"3,392,099","41,878",1st of 15,"$182,690,767 ",101,102,Rogers Centre,278,22.9,
2016,Cincinnati Reds,NL Central,68,94,5,,"1,894,085","23,384",14th of 15,"$77,329,561 ",102,101,Great American Ball Park,229,15.9,
2016,St Louis Cardinals,NL Central,86,76,2,,"3,444,490","42,525",2nd of 15,"$150,353,500 ",97,98,Busch Stadium III,310,40.5,
2016,San Francisco Giants,NL West,87,75,2,Lost LDS (3-1),"3,365,256","41,546",3rd of 15,"$177,021,333 ",96,96,AT&T Park,428,78.1,
2016,Seattle Mariners,AL West,86,76,2,,"2,267,928","27,999",9th of 15,"$137,169,100 ",96,96,Safeco Field,289,11.6,
2016,Philadelphia Phillies,NL East,71,91,4,,"1,915,144","23,644",13th of 15,"$84,846,666 ",100,99,Citizens Bank Park,325,87.7,
2016,Pittsburgh Pirates,NL Central,78,83,3,,"2,249,201","27,768",10th of 15,"$81,187,933 ",99,99,PNC Park,265,51,
2016,Colorado Rockies,NL West,75,87,3,,"2,602,524","32,130",6th of 15,"$89,707,000 ",116,116,Coors Field,248,26.6,
2016,Oakland Athletics,AL West,69,93,5,,"1,521,506","18,784",14th of 15,"$54,969,067 ",97,96,Oakland-Alameda County Coliseum,216,25.5,
2016,New York Yankees,AL East,84,78,4,,"3,063,405","37,820",2nd of 15,"$193,229,350 ",102,103,Yankee Stadium III,526,39,
2016,New York Mets,NL East,87,75,2,Lost NLWC (1-0),"2,789,602","34,440",5th of 15,"$155,221,282 ",96,96,Citi Field,332,31.7,75.2
2016,Miami Marlins,NL East,79,82,3,,"1,712,417","21,405",15th of 15,"$72,472,000 ",94,93,"Marlins Park, Estadio Hiram Bithorn",206,-53,
2016,Minnesota Twins,AL Central,59,103,5,,"1,963,912","24,246",11th of 15,"$93,333,700 ",100,100,Target Field,249,23,
2016,Detroit Tigers,AL Central,86,75,2,,"2,493,859","31,173",7th of 15,"$199,902,000 ",101,100,Comerica Park,275,-46,
2016,Milwaukee Brewers,NL Central,73,89,4,,"2,314,614","28,575",9th of 15,"$52,077,500 ",102,102,Miller Park,239,67,
2016,Los Angeles Angels,AL West,74,88,4,,"3,016,142","37,236",3rd of 15,"$139,712,000 ",95,95,Angel Stadium of Anaheim,350,25,
2016,Houston Astros,AL West,84,78,3,,"2,306,623","28,477",8th of 15,"$89,498,000 ",93,94,Minute Maid Park,299,77,
2016,Los Angeles Dodgers,NL West,91,71,1,Lost NLCS (4-2),"3,703,312","45,720",1st of 15,"$231,342,096 ",96,97,Dodger Stadium,462,68,
2016,Kansas City Royals,AL Central,81,81,3,,"2,557,712","31,577",6th of 15,"$125,132,675 ",102,102,Kauffman Stadium,246,-17,
2016,Atlanta Braves,NL East,68,93,5,,"2,020,914","24,950",12th of 15,"$74,999,750 ",99,98,"Turner Field, Fort Bragg Park",275,46,
2017,Baltimore Orioles,AL East,75,87,5,,"2,028,424","25,042",12th of 15,"$161,621,633 ",99,97,Oriole Park at Camden Yards,252,-26,
2017,Chicago White Sox,AL Central,67,95,4,,"1,629,470","20,117",13th of 15,"$97,842,000 ",98,97,Guaranteed Rate Field,266,30,
2017,Chicago Cubs,NL Central,92,70,1,Lost NLCS (4-1),"3,199,562","39,501",4th of 15,"$177,210,667 ",101,103,Wrigley Field,457,102,
2017,Arizona Diamondbacks,NL West,93,69,2,Lost LDS (3-0),"2,134,375","26,350",11th of 15,"$106,580,200 ",108,108,Chase Field,258,34,
2017,Boston Red Sox,AL East,93,69,1,Lost LDS (3-1),"2,917,678","36,021",4th of 15,"$200,550,750 ",104,105,Fenway Park,453,86,
2017,Cleveland Indians,AL Central,102,60,1,Lost LDS (3-2),"2,048,138","25,286",11th of 15,"$114,427,167 ",104,106,Progressive Field,284,31,
2017,Tampa Bay Rays,AL East,80,82,3,,"1,253,619","15,477",15th of 15,"$79,473,033 ",96,96,Tropicana Field,219,23,
2017,Washington Nationals,NL East,97,65,1,Lost LDS (3-2),"2,524,980","31,173",7th of 15,"$175,587,301 ",103,104,Nationals Park,311,11,
2017,Texas Rangers,AL West,78,84,3,,"2,507,760","30,960",5th of 15,"$207,326,274 ",110,110,Globe Life Park in Arlington,311,30,
2017,Toronto Blue Jays,AL East,76,86,4,,"3,203,886","39,554",1st of 15,"$158,890,575 ",102,101,Rogers Centre,274,-1.3,
2017,Cincinnati Reds,NL Central,68,94,5,,"1,836,917","22,678",14th of 15,"$79,315,786 ",103,101,Great American Ball Park,243,14,
2017,St Louis Cardinals,NL Central,83,79,3,,"3,448,337","42,572",2nd of 15,"$129,652,933 ",97,98,Busch Stadium III,319,40,
2017,San Francisco Giants,NL West,64,98,5,,"3,303,652","40,786",3rd of 15,"$177,399,833 ",98,98,AT&T Park,445,84,
2017,Seattle Mariners,AL West,78,84,3,,"2,135,445","26,364",9th of 15,"$172,438,700 ",95,95,Safeco Field,288,-2.4,
2017,Philadelphia Phillies,NL East,66,96,5,,"1,905,354","23,523",13th of 15,"$86,276,000 ",99,98,Citizens Bank Park,329,91,
2017,Pittsburgh Pirates,NL Central,75,87,4,,"1,919,447","23,697",12th of 15,"$102,953,333 ",98,97,PNC Park,258,35,
2017,Colorado Rockies,NL West,87,75,3,Lost NLWC (1-0),"2,953,650","36,465",5th of 15,"$106,650,000 ",116,117,Coors Field,266,15,
2017,Oakland Athletics,AL West,75,87,5,,"1,475,721","18,219",14th of 15,"$51,560,000 ",95,95,Oakland-Alameda County Coliseum,210,15,
2017,New York Yankees,AL East,91,71,2,Lost ALCS (4-3),"3,154,938","38,950",2nd of 15,"$182,424,700 ",103,104,Yankee Stadium III,619,14,
2017,New York Mets,NL East,70,92,4,,"2,460,622","30,378",9th of 15,"$176,615,252 ",95,94,Citi Field,336,17,96.6
2017,Miami Marlins,NL East,77,85,2,,"1,583,014","20,295",15th of 15,"$111,591,100 ",91,90,Marlins Park,219,-22,
2017,Minnesota Twins,AL Central,85,77,2,Lost ALWC (1-0),"2,051,279","25,324",10th of 15,"$103,932,500 ",101,100,Target Field,261,14,
2017,Detroit Tigers,AL Central,64,98,5,,"2,321,599","28,662",7th of 15,"$118,375,600 ",102,101,Comerica Park,277,19,
2017,Milwaukee Brewers,NL Central,86,76,2,,"2,627,705","31,282",6th of 15,"$68,439,300 ",101,101,Miller Park,255,66,
2017,Los Angeles Angels,AL West,80,82,2,,"3,019,585","37,279",3rd of 15,"$181,125,500 ",97,97,Angel Stadium of Anaheim,334,19,
2017,Houston Astros,AL West,101,61,1,Won WS (4-3),"2,403,671","29,675",6th of 15,"$157,656,400 ",93,94,"Minute Maid Park, Tropicana Field",347,66,
2017,Los Angeles Dodgers,NL West,104,58,1,Lost WS (4-3),"3,765,856","46,492",1st of 15,"$201,466,263 ",95,96,Dodger Stadium,522,95,
2017,Kansas City Royals,AL Central,80,82,3,,"2,220,370","27,412",8th of 15,"$127,555,817 ",102,101,Kauffman Stadium,245,5.3,
2017,Atlanta Braves,NL East,72,90,3,,"2,505,252","30,929",8th of 15,"$119,705,250 ",100,100,SunTrust Park,336,71,
2018,Baltimore Orioles,AL East,47,115,5,,"1,564,192","19,311",14th of 15,"$141,555,833 ",100,98,Oriole Park at Camden Yards,251,-6.5,
2018,Chicago White Sox,AL Central,62,100,4,,"1,608,817","19,862",12th of 15,"$75,092,000 ",99,98,Guaranteed Rate Field,272,76,
2018,Chicago Cubs,NL Central,95,68,2,Lost NLWC (1-0),"3,181,089","38,794",4th of 15,"$205,373,881 ",103,104,Wrigley Field,452,87,
2018,Arizona Diamondbacks,NL West,82,80,3,,"2,242,695","27,688",9th of 15,"$134,850,600 ",104,105,Chase Field,275,10,
2018,Boston Red Sox,AL East,108,54,1,Won WS (4-1),"2,895,575","35,748",4th of 15,"$222,205,000 ",103,104,Fenway Park,516,84,
2018,Cleveland Indians,AL Central,91,71,1,Lost LDS (3-0),"1,926,701","23,786",9th of 15,"$143,375,233 ",101,103,Progressive Field,282,16,
2018,Tampa Bay Rays,AL East,90,72,3,,"1,154,973","14,259",15th of 15,"$46,011,667 ",96,97,Tropicana Field,228,27,
2018,Washington Nationals,NL East,82,80,2,,"2,529,604","31,230",8th of 15,"$188,886,699 ",105,106,Nationals Park,336,24,
2018,Texas Rangers,AL West,67,95,5,,"2,107,107","26,014",7th of 15,"$106,099,628 ",111,110,Globe Life Park in Arlington,324,39,
2018,Toronto Blue Jays,AL East,73,89,4,,"2,325,281","28,707",5th of 15,"$151,670,772 ",99,98,Rogers Centre,265,-16,
2018,Cincinnati Reds,NL Central,67,95,5,,"1,629,356","20,116",13th of 15,"$94,587,500 ",103,102,Great American Ball Park,257,37,
2018,St Louis Cardinals,NL Central,88,74,3,,"3,403,587","42,020",2nd of 15,"$157,713,667 ",96,97,Busch Stadium III,356,65,
2018,San Francisco Giants,NL West,73,89,4,,"3,156,185","38,965",3rd of 15,"$202,060,277 ",94,93,AT&T Park,462,84,
2018,Seattle Mariners,AL West,89,73,3,,"2,299,489","28,389",6th of 15,"$157,090,065 ",95,94,Safeco Field,320,31,
2018,Philadelphia Phillies,NL East,81,81,4,,"2,727,421","33,672",6th of 15,"$141,786,962 ",102,102,Citizens Bank Park,341,94,
2018,Pittsburgh Pirates,NL Central,82,79,4,,"1,465,316","18,316",14th of 15,"$88,141,000 ",97,96,PNC Park,254,39,
2018,Colorado Rockies,NL West,91,72,2,Lost LDS (3-0),"3,015,880","37,233",5th of 15,"$136,658,500 ",117,117,Coors Field,291,23,
2018,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),"1,573,616","19,427",13th of 15,"$69,883,333 ",97,97,Oakland-Alameda County Coliseum,218,33,
2018,New York Yankees,AL East,100,62,2,Lost LDS (3-1),"3,482,855","42,998",1st of 15,"$160,743,032 ",98,100,Yankee Stadium III,668,29,
2018,New York Mets,NL East,77,85,4,,"2,224,995","27,469",10th of 15,"$161,403,844 ",92,92,Citi Field,340,30,54.5
2018,Miami Marlins,NL East,63,98,5,,"811,104","10,014",15th of 15,"$86,515,143 ",95,94,Marlins Park,224,-5.9,
2018,Minnesota Twins,AL Central,78,84,2,,"1,959,197","24,188",8th of 15,"$110,275,000 ",100,101,Target Field,269,43,
2018,Detroit Tigers,AL Central,64,98,3,,"1,856,970","22,926",10th of 15,"$111,531,000 ",105,103,Comerica Park,276,30,
2018,Milwaukee Brewers,NL Central,96,67,1,Lost NLCS (4-3),"2,850,875","35,196",6th of 15,"$109,295,700 ",101,102,Miller Park,288,43,
2018,Los Angeles Angels,AL West,80,82,4,,"3,020,216","37,287",2nd of 15,"$166,849,666 ",98,98,Angel Stadium of Anaheim,348,61,
2018,Houston Astros,AL West,103,59,1,Lost ALCS (4-1),"2,980,549","36,797",3rd of 15,"$172,781,200 ",97,99,Minute Maid Park,368,99,
2018,Los Angeles Dodgers,NL West,92,71,1,Lost WS (4-1),"3,857,500","47,043",1st of 15,"$164,703,429 ",96,98,Dodger Stadium,549,96,
2018,Kansas City Royals,AL Central,58,104,5,,"1,665,107","20,557",11th of 15,"$95,199,167 ",101,100,Kauffman Stadium,244,27,
2018,Atlanta Braves,NL East,90,72,1,Lost LDS (3-1),"2,555,781","31,553",7th of 15,"$115,848,667 ",101,101,SunTrust Park,344,92,
2019,Baltimore Orioles,AL East,54,108,5,,"1,307,807","16,146",14th of 15,"$82,696,100 ",102,99,Oriole Park at Camden Yards,256,,
2019,Chicago White Sox,AL Central,72,89,3,,"1,649,775","20,622",10th of 15,"$80,846,333 ",99,97,Guaranteed Rate Field,285,,
2019,Chicago Cubs,NL Central,84,78,3,,"3,094,865","38,208",3rd of 15,"$217,805,215 ",101,102,Wrigley Field,471,,
2019,Arizona Diamondbacks,NL West,162,85,2,,"2,135,510","26,364",12th of 15,"$124,016,266 ",101,101,Chase Field,278,,
2019,Boston Red Sox,AL East,84,78,3,,"2,924,627","36,107",3rd of 15,"$218,978,142 ",104,105,Fenway Park,519,,
2019,Cleveland Indians,AL Central,93,69,2,,"1,738,642","21,465",9th of 15,"$151,257,783 ",102,104,Progressive Field,290,,
2019,Tampa Bay Rays,AL East,96,66,2,Lost LDS (3-2),"1,178,735","14,552",15th of 15,"$56,071,767 ",96,97,Tropicana Field,264,,
2019,Washington Nationals,NL East,93,69,2,Won WS (4-3),"2,259,781","27,899",11th of 15,"$203,016,595 ",104,106,Nationals Park,370,,
2019,Texas Rangers,AL West,78,84,3,,"2,132,994","26,333",6th of 15,"$104,433,499 ",112,111,Globe Life Park in Arlington,335,,
2019,Toronto Blue Jays,AL East,67,95,4,,"1,750,144","21,607",8th of 15,"$64,680,671 ",98,97,Rogers Centre,265,,
2019,Cincinnati Reds,NL Central,75,87,4,,"1,808,685","22,329",13th of 15,"$109,737,499 ",103,103,Great American Ball Park,276,,
2019,St Louis Cardinals,NL Central,91,71,1,Lost NLCS (4-0),"3,480,393","42,968",2nd of 15,"$161,120,267 ",97,98,Busch Stadium III,383,,
2019,San Francisco Giants,NL West,77,85,3,,"2,707,760","33,429",7th of 15,"$175,550,753 ",95,94,Oracle Park,452,,
2019,Seattle Mariners,AL West,68,94,5,,"1,791,863","22,122",7th of 15,"$126,874,600 ",94,93,T-Mobile Park,315,,
2019,Pittsburgh Pirates,NL Central,69,93,5,,"1,491,439","18,413",14th of 15,"$72,915,501 ",97,96,PNC Park,273,,
2019,Colorado Rockies,NL West,71,91,4,,"2,993,244","36,954",4th of 15,"$145,348,500 ",118,118,Coors Field,305,,
2019,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),"1,662,211","20,521",11th of 15,"$102,935,833 ",93,95,Oakland-Alameda County Coliseum,225,,
2019,New York Yankees,AL East,103,59,1,Lost ALCS (4-2),"3,304,404","40,795",1st of 15,"$228,442,421 ",96,98,Yankee Stadium III,683,,
2019,New York Mets,NL East,86,76,3,,"2,442,532","30,155",9th of 15,"$154,837,230 ",92,92,Citi Field,362,,65.1
2019,Miami Marlins,NL East,57,105,5,,"811,302","10,016",15th of 15,"$74,683,643 ",96,94,Marlins Park,222,,
2019,Minnesota Twins,AL Central,101,61,1,Lost LDS (3-0),"2,294,152","28,323",5th of 15,"$113,758,333 ",99,100,Target Field,297,,
2019,Detroit Tigers,AL Central,47,114,5,,"1,501,430","18,536",12th of 15,"$100,618,500 ",104,102,Comerica Park,276,,
2019,Milwaukee Brewers,NL Central,89,73,2,Lost NLWC (1-0),"2,923,333","36,091",5th of 15,"$128,842,900 ",101,101,Miller Park,295,,
2019,Los Angeles Angels,AL West,72,90,4,,"3,019,012","37,272",2nd of 15,"$177,345,250 ",98,98,Angel Stadium of Anaheim,377,,
2019,Houston Astros,AL West,107,55,1,Lost WS (4-3),"2,857,367","35,276",4th of 15,"$166,042,500 ",100,103,Minute Maid Park,420,,
2019,Los Angeles Dodgers,NL West,106,56,1,Lost LDS (3-2),"3,974,309","49,066",1st of 15,"$193,553,333 ",94,96,Dodger Stadium,556,,
2019,Kansas City Royals,AL Central,59,103,4,,"1,479,659","18,267",13th of 15,"$98,183,242 ",102,101,Kauffman Stadium,251,,
2019,Atlanta Braves,NL East,97,65,1,Lost LDS (3-2),"2,655,100","32,779",8th of 15,"$133,186,667 ",103,105,SunTrust Park,382,,
2019,Philadelphia Phillies,NL East,81,81,4,,"2,727,421","33,672",6th of 15,"141,768,962",102,102,Citizens Bank Park,392,,
2019,San Diego Padres ,NL West,70,92,5,,"2,396,399","29,585",10th of 15,"$90,260,767 ",96,95,Petco Park,299,,
